,author,published_at,updated_at,like_count,text
29,Nardia Luton,2023-07-05T00:03:13Z,2023-07-05T00:03:13Z,0,This video is good
30,Lovis Stewart,2023-07-04T01:19:59Z,2023-07-04T01:19:59Z,0,Big up from Jamaica
31,Diana Gorayeb González,2023-07-01T04:13:01Z,2023-07-01T04:13:01Z,0,"Los más codiciosos y avariciosos del planeta son los responsables de estos cambios y estoy hablando de los billonarios que pueden comprar países enteros, mientras siga imperando el sistema capitalista en el planeta, seguirá estando en desequilibrio el planeta, aquí los únicos que pueden hacer cambios verdaderos son los grandes corporativos dirigidos por estos billonarios dueños de países enteros, que muy cómodamente responsabilizan al ciudadano de a pie, que muchas veces no sabe ni donde esta parado."
32,Increasing,2023-06-27T08:10:25Z,2023-06-27T08:10:25Z,0,free this world with war and atomic bombs. otherwise whatever you do. its not useful. anyway ultimately this world is going to its end. the day of judgment is coming very soon. be prepare yourself for next life. either in paradise or hell. if you are not a believer of GOD. then consider Stephen hawking wording. that this earth could be destroyed next one thousands years.
33,mcallan mugambi,2023-06-27T06:40:50Z,2023-06-27T06:40:50Z,0,I like its just a little to long
34,Protect Environment and Make Earth a better place,2023-06-25T15:18:27Z,2023-06-25T15:18:27Z,0,Good Effort and much needed content
35,V SUDHAKAR REDDY,2023-06-19T23:15:03Z,2023-06-19T23:15:03Z,0,Climate change cause to HEAT&amp;WASTE  Generated centre likely big cities. So ecofriendly lifestyle  as solutions.
36,Jim Pushie,2023-06-19T18:21:46Z,2023-06-19T18:21:46Z,0,"Ok for one  Great Barrier Reef have never been big then now. and never been more  arctic and Antarctic Ice , since humans have been around if you want to try and shut some one up at lest have your facts strait ... I am dun talking with you as you clearly just have a agenda and no knowledge of what you speak  The sky&#39;s are falling the sky&#39;s are falling you coward ! stop trying to scare people with lies !!!!!!!!!!!!!!!!!!!!!!!!!!!!! every stupid prediction you people come up with fails and dose the opposite of what you say are you not tired of being wrong or would you just rather Arson in all of Canada&#39;s forests to try and prove your agenda  Give it up move on to something new more real !!!!!!!!!!!!!!!!!!!!!!!"
37,Shane Wilson,2023-06-19T15:44:12Z,2023-06-19T15:44:12Z,0,Climate Change is bulshit propaganda for excuse to raise taxes by socialist left wing governments .
38,Adrian Helgason,2023-06-17T20:43:12Z,2023-06-17T20:45:00Z,0,It&#39;s sad that all these world leaders and the United Nations haven&#39;t really done anything to stop climate; the worst part is that they knew about climate change for more than 20 years and nothing is done. They always talk about how bad climate change is and don&#39;t really do anything.
39,rodkeh,2023-06-16T19:49:38Z,2023-06-16T19:49:38Z,0,More fake science and baseless fearmongering about nothing!
40,Flyingcrocodile46,2023-06-14T01:32:23Z,2023-06-14T01:32:23Z,0,"If producing (releasing/unlocking) CO2 is so bad for the world why don&#39;t we have a socially woke  campaign to ostracize and persecute people who buy and consume Coca Cola, Pepsi etc?   Surely the mass production and distribution of CO2 in this way is a crime against the planet that Climate change believers and the UN should move to shut down"
41,Shane Wilson,2023-06-13T01:52:18Z,2023-06-13T01:52:18Z,1,People that believe in climate change are just as dumb as the people believe that the earth is flat.
42,Jim Pushie,2023-06-12T21:36:45Z,2023-06-12T21:36:45Z,1,so full of crap stop pushing this lie !!!!!!!
43,**** Bondo,2023-06-12T12:06:27Z,2023-06-12T12:06:27Z,1,"Is the climate changing,..??..  Yes,.....     Is this a crisis,..??  No,....    it&#39;s the weather,....."
44,Mark Cooper,2023-06-11T12:22:34Z,2023-06-11T12:22:34Z,1,A hoax of grand proportions.
45,Kah Ho Wong,2023-06-10T05:18:23Z,2023-06-10T05:18:23Z,0,"Climate Change has since earliest written history of urbanisation of Man Kinds as phenomenon, is a present danger and existential threat to human Urban Habitation and intrinsic globalist military industrial economy, not a present danger and existential threat to the Human Species per say."
46,Edila Lewis,2023-06-09T02:00:56Z,2023-06-09T02:00:56Z,0,It is written in the Bible that there will be no global chaos until the Antichrist appears beware one-third of Earth will be desolate
47,Faith support,2023-06-06T23:04:35Z,2023-06-06T23:04:35Z,0,🐶hi ClickView (you don&#39;t have to do a Q&amp;A video but) do you think you&#39;re a good person? if so do you think there&#39;s an afterlife? also i&#39;m not better than anybody else.
48,Lee Huan,2023-06-04T12:35:25Z,2023-06-04T12:35:25Z,0,I need citations or references 😭
49,Rami Tamir,2023-06-03T00:54:41Z,2023-06-03T00:54:41Z,0,"Why Do We Have to Have Natural Disasters?<br><br>We receive major blows from nature ultimately in order to shake us out of the state where we live according to an egoistic paradigm—with exploitation, manipulation and hatred dwelling in our connections—to a state where we positively connect, as described by the words, “as one man with one heart,” i.e., as a single well-oiled interconnected and interdependent system.<br><br>In other words, if we shared a harmonious and balanced connection to each other on the human level, then the balance at our level would ripple throughout nature and we would experience nature harmoniously and peacefully, and natural disasters, as we call them, would become a thing of the past.<br><br>We would be wise to pay attention to the future states that we can achieve out of such blows: that the blows come to shake us out of our current dreamlike state in our egoistic attitudes to each other, and wake us up into an opposite harmonious and peaceful world.<br><br>In fact, we live in a world that is all good, and only we human beings give the world a negative form in our egoistic attitudes to each other. The time is nearing when we will awaken to the need to stop relating to each other through egoistic lenses—where we each prioritize self-benefit at others’ expense—and instead relate patiently to each other with positive, kind and caring attitudes.<br><br>If we made such a switch, we would bear witness to a good life, the likes of which we have never before experienced. We should thus try to reach such relations as quickly as possible."
50,Ika Herdianawati,2023-05-29T03:47:00Z,2023-05-29T03:47:00Z,0,"Hi creator, this is great video to explanation about climate change. Can i use this video to do my presentation? i have presentation about climate change. Don&#39;t worry, i will mention the creator of this video. Many thanks to you."
51,George Roberts,2023-05-26T15:58:36Z,2023-05-26T15:58:36Z,0,"Climate change is really chemtrails and HAARP which is weather manipulation by your govt. It&#39;s bs to bring in carbon taxes, basically to tax the air you breathe."
52,Daryl Lewis,2023-05-25T14:07:36Z,2023-05-25T14:07:36Z,0,"Climate change <br><br>Take a look at the world around you, The environment is just like any human or animal.<br>It is alive; When we litter on the ground use cars with , Or burn down a forest and the earth feels pain. And think about it, We have to live here, does it really make sense to damage the place we  Live on. If the whole world gathered together we could get it done in hours.<br><br>               But that’s just pushing it; But seriously if we want to preserve our <br><br>            Environment and our lives we must work as a unit if we want to get things <br><br>           Done. Then the environment would become beautiful like something out of <br><br>           A Fairy tale story."
53,TimeLapsus,2023-05-20T21:56:06Z,2023-05-20T21:56:06Z,0,Mostly bullshit
54,No One,2023-05-20T13:54:39Z,2023-05-20T13:54:39Z,1,"Climate change is normal,taxing people to fix it is the biggest scam of our generation!"
55,PG GAFFAR KHAN,2023-05-19T12:14:28Z,2023-05-19T12:14:28Z,0,THE CLIMATE CHANGES TOPICS BE EXPLAINED IN SCHOOL CURRICULUM
